member,dt,model,order,med_raw,mean_raw,med_flo,mean_flo
DEC-base,5em3,zero,N3dot,0.6860285439576548,0.7227474075855155,0.6860285439576548,0.7227474075855155
DEC-hiRe,1em2,best,Ndot,0.10613805641110688,0.10698377004010383,0.10613805641110688,0.10698377004010383
DEC-hiRe,1em2,best,Nddot,0.10613177024186349,0.10683136622527879,0.10613177024186349,0.10683136622527879
DEC-hiRe,1em2,best,N3dot,0.5602847168355202,0.5596655301956344,0.5602847168355202,0.5596655301956344
DEC-hiRe,1em2,zero,Ndot,0.2448434550674753,0.24482684501617244,0.2448434550674753,0.24482684501617244
DEC-hiRe,1em2,zero,Nddot,0.26524123416994116,0.2651688192486392,0.26524123416994116,0.2651688192486392
DEC-hiRe,1em2,zero,N3dot,0.2847349254029331,0.27876068719160874,0.2847349254029331,0.27876068719160874
DEC-hiRe,1p5em2,best,Ndot,0.10474666647823028,0.10588665691589355,0.10474666647823028,0.10588665691589355
DEC-hiRe,1p5em2,best,Nddot,0.10701512268892632,0.10745748480556462,0.10701512268892632,0.10745748480556462
DEC-hiRe,1p5em2,best,N3dot,0.5625667265433821,0.5643553330632683,0.5625667265433821,0.5643553330632683
DEC-hiRe,1p5em2,zero,Ndot,0.244829574332603,0.24481031586103297,0.244829574332603,0.24481031586103297
DEC-hiRe,1p5em2,zero,Nddot,0.26548350918132313,0.26618841331100906,0.26548350918132313,0.26618841331100906
DEC-hiRe,1p5em2,zero,N3dot,0.28675922566858836,0.2859004626887467,0.28675922566858836,0.2859004626887467
DEC-hiRe,5em3,best,Ndot,0.16386300576608542,0.16734175797094153,0.16386300576608542,0.16734175797094153
DEC-hiRe,5em3,best,Nddot,0.10609084640842684,0.10685955714283109,0.10609084640842684,0.10685955714283109
DEC-hiRe,5em3,best,N3dot,0.568060320210178,0.5609414745353337,0.568060320210178,0.5609414745353337
DEC-hiRe,5em3,zero,Ndot,0.24484505172096055,0.24482951919315663,0.24484505172096055,0.24482951919315663
DEC-hiRe,5em3,zero,Nddot,0.2655070955072164,0.26524669780468835,0.2655070955072164,0.26524669780468835
DEC-hiRe,5em3,zero,N3dot,0.30567709508508767,0.3053411539837752,0.30567709508508767,0.3053411539837752
DEC-loRe,1em2,best,Ndot,0.19079975749214786,0.1888779187603409,0.19079975749214786,0.1888779187603409
DEC-loRe,1em2,best,Nddot,0.09706362836705218,0.1018272716121426,0.09706362836705218,0.1018272716121426
DEC-loRe,1em2,best,N3dot,1.8445020073579323,2.022542123030546,1.8445020073579323,2.022542123030546
DEC-loRe,1em2,zero,Ndot,0.06820290899391057,0.07496410379785741,0.06820290899391057,0.07496410379785741
DEC-loRe,1em2,zero,Nddot,0.14823535419555994,0.15204496131095047,0.14823535419555994,0.15204496131095047
DEC-loRe,1em2,zero,N3dot,4.708184104481624,5.2903195579548035,4.708184104481624,5.2903195579548035
DEC-loRe,1p5em2,best,Ndot,0.19070755764246622,0.18875476854862883,0.19070755764246622,0.18875476854862883
DEC-loRe,1p5em2,best,Nddot,0.09557461501241518,0.10064947572291638,0.09557461501241518,0.10064947572291638
DEC-loRe,1p5em2,best,N3dot,0.6285332834591723,0.7107048093890499,0.6285332834591723,0.7107048093890499
DEC-loRe,1p5em2,zero,Ndot,0.06820102959617125,0.07496249220669447,0.06820102959617125,0.07496249220669447
DEC-loRe,1p5em2,zero,Nddot,0.12328736066864222,0.12995388172396147,0.12328736066864222,0.12995388172396147
DEC-loRe,1p5em2,zero,N3dot,1.419848599458589,1.5834548786149256,1.419848599458589,1.5834548786149256
DEC-loRe,5em3,best,Ndot,0.21350587370843477,0.2109717403929335,0.21350587370843477,0.2109717403929335
DEC-loRe,5em3,best,Nddot,0.13123187009399173,0.13112380057366885,0.13123187009399173,0.13112380057366885
DEC-loRe,5em3,best,N3dot,10.09072646151525,9.226780823989596,10.09072646151525,9.226780823989596
DEC-loRe,5em3,zero,Ndot,0.09306331824084246,0.09617535274067689,0.09306331824084246,0.09617535274067689
DEC-loRe,5em3,zero,Nddot,0.25811818722453517,0.2503269680841274,0.25811818722453517,0.2503269680841274
